Epoch: [0][0/2639], lr: 0.02000	Time 79.015 (79.015)	Data 58.827 (58.827)	Loss 5.1583 (5.1583)	Prec@1 0.000 (0.000)	Prec@5 1.562 (1.562)
Epoch: [0][20/2639], lr: 0.02000	Time 0.539 (5.600)	Data 0.000 (4.086)	Loss 6.5164 (6.1953)	Prec@1 1.562 (0.818)	Prec@5 6.250 (5.060)
Epoch: [0][40/2639], lr: 0.02000	Time 0.539 (4.117)	Data 0.000 (3.079)	Loss 5.1198 (5.7655)	Prec@1 0.000 (1.258)	Prec@5 7.812 (6.364)
Epoch: [0][60/2639], lr: 0.02000	Time 0.537 (3.571)	Data 0.000 (2.696)	Loss 5.0570 (5.5439)	Prec@1 3.125 (1.178)	Prec@5 6.250 (6.173)
Epoch: [0][80/2639], lr: 0.02000	Time 32.135 (3.662)	Data 31.583 (2.870)	Loss 4.9075 (5.4078)	Prec@1 1.562 (1.331)	Prec@5 9.375 (6.443)
Epoch: [0][100/2639], lr: 0.02000	Time 0.538 (3.358)	Data 0.000 (2.616)	Loss 4.8202 (5.3202)	Prec@1 6.250 (1.377)	Prec@5 12.500 (6.838)
Epoch: [0][120/2639], lr: 0.02000	Time 0.539 (3.148)	Data 0.000 (2.439)	Loss 4.9836 (5.2630)	Prec@1 0.000 (1.433)	Prec@5 9.375 (7.257)
Epoch: [0][140/2639], lr: 0.02000	Time 0.538 (3.003)	Data 0.000 (2.318)	Loss 4.9698 (5.2220)	Prec@1 1.562 (1.463)	Prec@5 6.250 (7.502)
Epoch: [0][160/2639], lr: 0.02000	Time 24.373 (3.027)	Data 23.777 (2.360)	Loss 4.8890 (5.1892)	Prec@1 3.125 (1.533)	Prec@5 15.625 (7.774)
Epoch: [0][180/2639], lr: 0.02000	Time 0.539 (2.921)	Data 0.000 (2.267)	Loss 4.8220 (5.1619)	Prec@1 3.125 (1.623)	Prec@5 7.812 (7.933)
Epoch: [0][200/2639], lr: 0.02000	Time 0.538 (2.828)	Data 0.000 (2.186)	Loss 4.9904 (5.1404)	Prec@1 1.562 (1.656)	Prec@5 9.375 (8.139)
Epoch: [0][220/2639], lr: 0.02000	Time 0.538 (2.730)	Data 0.000 (2.097)	Loss 5.0590 (5.1190)	Prec@1 0.000 (1.676)	Prec@5 6.250 (8.307)
Epoch: [0][240/2639], lr: 0.02000	Time 26.288 (2.768)	Data 25.736 (2.143)	Loss 4.8104 (5.1034)	Prec@1 1.562 (1.679)	Prec@5 7.812 (8.260)
Epoch: [0][260/2639], lr: 0.02000	Time 5.109 (2.711)	Data 4.553 (2.092)	Loss 4.7969 (5.0874)	Prec@1 3.125 (1.772)	Prec@5 6.250 (8.549)
