Epoch: [0][0/2639], lr: 0.02000	Time 26.634 (26.634)	Data 3.777 (3.777)	Loss 5.1582 (5.1582)	Prec@1 0.000 (0.000)	Prec@5 4.688 (4.688)
Epoch: [0][20/2639], lr: 0.02000	Time 0.541 (1.814)	Data 0.000 (0.180)	Loss 5.9337 (5.9996)	Prec@1 0.000 (1.042)	Prec@5 3.125 (6.176)
Epoch: [0][40/2639], lr: 0.02000	Time 0.540 (1.194)	Data 0.000 (0.092)	Loss 5.0131 (5.6914)	Prec@1 1.562 (1.181)	Prec@5 7.812 (6.250)
Epoch: [0][60/2639], lr: 0.02000	Time 0.541 (0.982)	Data 0.000 (0.062)	Loss 5.2337 (5.4823)	Prec@1 0.000 (1.255)	Prec@5 4.688 (6.967)
Epoch: [0][80/2639], lr: 0.02000	Time 0.541 (0.874)	Data 0.000 (0.047)	Loss 4.9953 (5.3711)	Prec@1 3.125 (1.427)	Prec@5 4.688 (7.079)
Epoch: [0][100/2639], lr: 0.02000	Time 0.541 (0.809)	Data 0.000 (0.038)	Loss 4.9070 (5.2978)	Prec@1 7.812 (1.578)	Prec@5 12.500 (7.256)
Epoch: [0][120/2639], lr: 0.02000	Time 0.541 (0.765)	Data 0.000 (0.031)	Loss 5.0275 (5.2489)	Prec@1 1.562 (1.679)	Prec@5 7.812 (7.335)
Epoch: [0][140/2639], lr: 0.02000	Time 0.553 (0.734)	Data 0.000 (0.027)	Loss 4.7890 (5.2054)	Prec@1 0.000 (1.707)	Prec@5 12.500 (7.646)
Epoch: [0][160/2639], lr: 0.02000	Time 0.541 (0.711)	Data 0.000 (0.024)	Loss 4.9468 (5.1754)	Prec@1 3.125 (1.708)	Prec@5 12.500 (7.910)
Epoch: [0][180/2639], lr: 0.02000	Time 0.541 (0.692)	Data 0.000 (0.021)	Loss 5.0275 (5.1490)	Prec@1 0.000 (1.727)	Prec@5 4.688 (8.002)
Epoch: [0][200/2639], lr: 0.02000	Time 0.542 (0.677)	Data 0.000 (0.019)	Loss 4.9180 (5.1267)	Prec@1 1.562 (1.765)	Prec@5 14.062 (8.240)
Epoch: [0][220/2639], lr: 0.02000	Time 0.550 (0.666)	Data 0.000 (0.017)	Loss 4.9985 (5.1112)	Prec@1 1.562 (1.810)	Prec@5 9.375 (8.357)
Epoch: [0][240/2639], lr: 0.02000	Time 0.541 (0.656)	Data 0.000 (0.016)	Loss 4.7973 (5.0959)	Prec@1 4.688 (1.809)	Prec@5 18.750 (8.344)
Epoch: [0][260/2639], lr: 0.02000	Time 0.541 (0.647)	Data 0.000 (0.015)	Loss 5.0343 (5.0840)	Prec@1 0.000 (1.856)	Prec@5 7.812 (8.477)
Epoch: [0][280/2639], lr: 0.02000	Time 0.548 (0.640)	Data 0.000 (0.014)	Loss 5.0119 (5.0731)	Prec@1 3.125 (1.863)	Prec@5 9.375 (8.519)
Epoch: [0][300/2639], lr: 0.02000	Time 0.582 (0.634)	Data 0.000 (0.013)	Loss 5.0011 (5.0650)	Prec@1 3.125 (1.884)	Prec@5 9.375 (8.602)
Epoch: [0][320/2639], lr: 0.02000	Time 0.542 (0.628)	Data 0.000 (0.012)	Loss 4.9088 (5.0557)	Prec@1 0.000 (1.874)	Prec@5 9.375 (8.659)
