Epoch: [0][660/2639], lr: 0.02000	Time 0.542 (0.608)	Data 0.000 (0.023)	Loss 4.7625 (4.9827)	Prec@1 3.125 (2.241)	Prec@5 14.062 (9.637)
Epoch: [0][680/2639], lr: 0.02000	Time 0.562 (0.607)	Data 0.000 (0.023)	Loss 4.8779 (4.9784)	Prec@1 1.562 (2.269)	Prec@5 10.938 (9.726)
Epoch: [0][700/2639], lr: 0.02000	Time 0.543 (0.605)	Data 0.000 (0.022)	Loss 4.7828 (4.9751)	Prec@1 4.688 (2.271)	Prec@5 12.500 (9.794)
Epoch: [0][720/2639], lr: 0.02000	Time 0.541 (0.604)	Data 0.000 (0.021)	Loss 4.7430 (4.9713)	Prec@1 3.125 (2.280)	Prec@5 17.188 (9.860)
Epoch: [0][740/2639], lr: 0.02000	Time 0.583 (0.602)	Data 0.000 (0.021)	Loss 4.7681 (4.9671)	Prec@1 1.562 (2.294)	Prec@5 14.062 (9.917)
Epoch: [0][760/2639], lr: 0.02000	Time 0.620 (0.601)	Data 0.000 (0.020)	Loss 4.7151 (4.9630)	Prec@1 6.250 (2.314)	Prec@5 12.500 (10.016)
Epoch: [0][780/2639], lr: 0.02000	Time 0.571 (0.599)	Data 0.000 (0.020)	Loss 4.8140 (4.9599)	Prec@1 1.562 (2.323)	Prec@5 12.500 (10.065)
Epoch: [0][800/2639], lr: 0.02000	Time 0.543 (0.598)	Data 0.000 (0.019)	Loss 4.8497 (4.9564)	Prec@1 0.000 (2.333)	Prec@5 9.375 (10.101)
Epoch: [0][820/2639], lr: 0.02000	Time 0.541 (0.597)	Data 0.000 (0.019)	Loss 4.8076 (4.9520)	Prec@1 1.562 (2.352)	Prec@5 18.750 (10.174)
Epoch: [0][840/2639], lr: 0.02000	Time 0.556 (0.596)	Data 0.000 (0.018)	Loss 4.7010 (4.9492)	Prec@1 3.125 (2.352)	Prec@5 15.625 (10.202)
